user_id,movie_id,rating,timestamp
2,1198,4,978298124
2,1210,4,978298151
2,1217,3,978298151
2,2717,3,978298196
2,1293,5,978298261
2,2943,4,978298372
2,1225,5,978298391
2,1193,5,978298413
2,318,5,978298413
2,3030,4,978298434
2,2858,4,978298434
2,1945,5,978298458
2,1207,4,978298478
2,593,5,978298517
2,3095,4,978298517
2,3468,5,978298542
2,1873,4,978298542
2,515,5,978298542
2,2501,5,978298600
2,3035,4,978298625
2,110,5,978298625
2,2067,5,978298625
2,3147,5,978298652
2,1247,5,978298652
2,3105,4,978298673
2,1357,5,978298709
2,1196,5,978298730
2,1957,5,978298750
2,1953,4,978298775
2,920,5,978298775
2,1834,4,978298813
2,1084,3,978298813
2,1962,5,978298813
2,3471,5,978298814
2,3654,3,978298814
2,3735,3,978298814
2,1259,5,978298841
2,1954,5,978298841
2,1784,5,978298841
2,2728,3,978298881
2,1103,3,978298905
2,3451,4,978298924
2,3578,5,978298958
2,2852,3,978298958
2,3334,4,978298958
2,3068,4,978299000
2,265,4,978299026
2,2312,3,978299046
2,590,5,978299083
2,1253,3,978299120
2,3071,4,978299120
2,1244,3,978299143
2,1955,4,978299200
2,2236,5,978299220
2,3678,3,978299250
2,982,4,978299269
2,2194,4,978299297
2,2268,5,978299297
2,1442,4,978299297
2,3255,4,978299321
2,647,3,978299351
2,235,3,978299351
2,1096,4,978299386
2,1124,5,978299418
2,498,3,978299418
2,1246,5,978299418
2,1537,4,978299620
2,1188,4,978299620
2,2396,4,978299641
2,2359,3,978299666
2,2321,3,978299666
2,356,5,978299686
2,3108,3,978299712
2,1265,3,978299712
2,3809,3,978299712
2,589,4,978299773
2,2028,4,978299773
2,2571,4,978299773
2,457,4,978299773
2,2916,3,978299809
2,1610,5,978299809
2,480,5,978299809
2,163,4,978299809
2,380,5,978299809
2,3418,4,978299809
2,1408,3,978299839
2,349,4,978299839
2,1527,4,978299839
2,2353,4,978299861
2,2006,3,978299861
2,2278,3,978299889
2,1370,5,978299889
2,648,4,978299913
2,1792,3,978299941
2,1372,3,978299941
2,1552,3,978299941
2,2490,3,978299966
2,1385,3,978299966
2,780,3,978299966
2,2881,3,978300002
2,368,4,978300002
2,1801,3,978300002
2,165,3,978300002
2,459,3,978300002
2,442,3,978300025
2,1597,3,978300025
2,2628,3,978300051
2,1690,3,978300051
2,3257,3,978300073
2,736,4,978300100
2,2002,5,978300100
2,2126,3,978300123
2,292,3,978300123
2,1687,3,978300174
2,1544,4,978300174
2,1917,3,978300174
27,858,5,978128786
27,300,4,978128821
27,1722,3,978128865
27,1248,5,978128920
27,1250,5,978128920
27,2858,5,978128920
27,3730,5,978128920
27,1997,3,978128920
27,951,5,978128995
27,2948,4,978128995
27,1282,4,978129053
27,1252,5,978129176
27,3435,5,978129176
27,913,5,978129176
27,922,4,978129176
27,1617,4,978129176
27,541,5,978129176
27,2066,4,978129222
27,1267,5,978129222
27,930,5,978129222
27,3364,5,978129223
27,2186,5,978129223
27,3683,5,978129223
27,3030,5,978129302
27,910,5,978129302
27,947,5,978129302
27,2973,3,978129332
27,1188,3,978129368
27,1276,5,978129368
27,916,4,978129368
27,2289,4,978129368
27,1180,4,978129392
27,955,5,978129392
27,1136,5,978129392
27,2997,5,978129418
27,905,5,978129418
27,1394,5,978129418
27,898,5,978129478
27,1294,5,978129509
27,3037,4,978129527
27,3072,3,978129527
27,1265,3,978129566
27,260,5,978129642
27,2174,4,978129642
27,1097,5,978129642
27,1073,4,978129662
27,923,5,978129768
27,1237,5,978129795
27,912,5,978129836
27,1217,4,978129836
27,3469,5,978129930
27,908,5,978129930
27,1207,5,978129930
27,1225,3,978129956
27,318,4,978129982
27,971,5,978129982
27,926,5,978130018
