user_id	book_id	rating	time
1418	57	4	2024-01-01 00:01:00
1418	45	4	2024-01-01 00:02:00
1418	249	5	2024-01-01 00:10:00
1418	587	5	2024-01-01 00:11:00
1418	40	5	2024-01-01 00:13:00
1418	620	5	2024-01-01 00:14:00
1418	100	5	2024-01-01 00:15:00
1418	860	4	2024-01-01 00:16:00
1418	1144	4	2024-01-01 00:17:00
1418	33	5	2024-01-01 00:24:00
1418	11	5	2024-01-01 00:25:00
1418	67	5	2024-01-01 00:26:00
1418	494	5	2024-01-01 00:29:00
1418	1168	5	2024-01-01 00:35:00
1418	410	5	2024-01-01 00:36:00
1418	65	3	2024-01-01 00:37:00
1418	405	4	2024-01-01 00:38:00
1418	306	4	2024-01-01 00:39:00
1418	489	5	2024-01-01 00:42:00
1418	461	4	2024-01-01 00:44:00
1418	150	5	2024-01-01 00:45:00
1418	82	5	2024-01-01 00:46:00
1418	236	5	2024-01-01 00:47:00
1418	1096	5	2024-01-01 00:48:00
1418	779	5	2024-01-01 00:51:00
1418	195	5	2024-01-01 00:52:00
1418	16	4	2024-01-01 00:54:00
1418	98	4	2024-01-01 00:55:00
1418	140	4	2024-01-01 00:56:00
1418	414	4	2024-01-01 00:57:00
1418	231	5	2024-01-01 00:58:00
1418	180	5	2024-01-01 00:59:00
1418	407	5	2024-01-01 01:02:00
1418	47	5	2024-01-01 01:03:00
1418	409	5	2024-01-01 01:04:00
1418	46	4	2024-01-01 01:05:00
1418	772	3	2024-01-01 01:06:00
1418	697	5	2024-01-01 01:07:00
1418	291	5	2024-01-01 01:10:00
1640	302	3	2024-01-01 00:00:00
1640	145	4	2024-01-01 00:02:00
1640	693	3	2024-01-01 00:03:00
1640	660	3	2024-01-01 00:04:00
1640	768	3	2024-01-01 00:05:00
1640	11	5	2024-01-01 00:08:00
1640	336	3	2024-01-01 00:13:00
1640	40	5	2024-01-01 00:16:00
1640	67	5	2024-01-01 00:17:00
1640	414	4	2024-01-01 00:26:00
1640	791	3	2024-01-01 00:28:00
1640	674	4	2024-01-01 00:35:00
1640	16	3	2024-01-01 00:38:00
1640	299	3	2024-01-01 00:39:00
1640	37	3	2024-01-01 00:40:00
1640	332	3	2024-01-01 00:41:00
1640	292	3	2024-01-01 00:42:00
1640	347	3	2024-01-01 00:43:00
1640	542	3	2024-01-01 00:44:00
1640	641	3	2024-01-01 00:45:00
1640	602	3	2024-01-01 00:46:00
1640	488	3	2024-01-01 00:48:00
1640	421	4	2024-01-01 00:49:00
1640	139	3	2024-01-01 00:50:00
1640	140	3	2024-01-01 00:51:00
1640	98	3	2024-01-01 00:52:00
1640	31	4	2024-01-01 00:54:00
1640	662	4	2024-01-01 00:56:00
1640	17	3	2024-01-01 00:57:00
1640	634	3	2024-01-01 01:00:00
1640	147	3	2024-01-01 01:02:00
1640	119	3	2024-01-01 01:05:00
1640	60	4	2024-01-01 01:07:00
1640	45	4	2024-01-01 01:08:00
1640	689	4	2024-01-01 01:11:00
1640	30	3	2024-01-01 01:12:00
1640	244	3	2024-01-01 01:13:00
1640	111	3	2024-01-01 01:16:00
1640	59	4	2024-01-01 01:18:00
1640	80	4	2024-01-01 01:19:00
2981	4	4	2024-01-01 00:00:00
2981	2	4	2024-01-01 00:01:00
2981	27	3	2024-01-01 00:02:00
2981	24	3	2024-01-01 00:03:00
2981	21	3	2024-01-01 00:04:00
2981	18	3	2024-01-01 00:05:00
2981	23	3	2024-01-01 00:06:00
2981	25	4	2024-01-01 00:07:00
2981	28	4	2024-01-01 00:09:00
2981	50	4	2024-01-01 00:10:00
2981	32	4	2024-01-01 00:11:00
2981	14	4	2024-01-01 00:12:00
2981	122	3	2024-01-01 00:13:00
2981	168	4	2024-01-01 00:15:00
2981	72	3	2024-01-01 00:16:00
2981	176	4	2024-01-01 00:17:00
2981	243	3	2024-01-01 00:18:00
2981	232	5	2024-01-01 00:19:00
2981	237	3	2024-01-01 00:20:00
2981	612	5	2024-01-01 00:21:00
2981	305	3	2024-01-01 00:22:00
2981	349	3	2024-01-01 00:23:00
2981	725	5	2024-01-01 00:24:00
2981	806	5	2024-01-01 00:25:00
2981	553	3	2024-01-01 00:26:00
2981	953	5	2024-01-01 00:27:00
2981	936	5	2024-01-01 00:28:00
2981	1261	3	2024-01-01 00:29:00
2981	670	3	2024-01-01 00:30:00
2981	556	3	2024-01-01 00:31:00
2981	1053	5	2024-01-01 00:32:00
2981	1248	5	2024-01-01 00:33:00
2981	578	3	2024-01-01 00:34:00
2981	675	3	2024-01-01 00:35:00
2981	865	3	2024-01-01 00:36:00
2981	705	4	2024-01-01 00:37:00
2981	915	4	2024-01-01 00:38:00
2981	1123	4	2024-01-01 00:39:00
2981	1498	3	2024-01-01 00:40:00
2981	986	3	2024-01-01 00:41:00
2981	967	3	2024-01-01 00:42:00
2981	1075	4	2024-01-01 00:43:00
2981	609	4	2024-01-01 00:44:00
2981	1139	3	2024-01-01 00:46:00
2981	944	3	2024-01-01 00:47:00
2981	911	4	2024-01-01 00:50:00
2981	1288	4	2024-01-01 00:53:00
2981	1208	4	2024-01-01 00:56:00
2981	703	4	2024-01-01 01:12:00
2981	739	3	2024-01-01 01:13:00
2981	173	4	2024-01-01 01:19:00
2981	264	3	2024-01-01 01:20:00
2981	367	5	2024-01-01 01:23:00
2981	271	5	2024-01-01 01:41:00
2981	63	5	2024-01-01 01:42:00
3021	1096	4	2024-01-01 00:02:00
3021	92	5	2024-01-01 00:04:00
3021	736	4	2024-01-01 00:07:00
3021	258	5	2024-01-01 00:08:00
3021	271	5	2024-01-01 00:09:00
3021	570	4	2024-01-01 00:10:00
3021	795	4	2024-01-01 00:11:00
3021	187	3	2024-01-01 00:13:00
3021	104	4	2024-01-01 00:14:00
3021	3	3	2024-01-01 00:16:00
3021	49	3	2024-01-01 00:17:00
3021	52	3	2024-01-01 00:18:00
3021	56	3	2024-01-01 00:19:00
3021	60	3	2024-01-01 00:22:00
3021	572	5	2024-01-01 00:23:00
3021	119	5	2024-01-01 00:25:00
3021	883	4	2024-01-01 00:26:00
3021	407	5	2024-01-01 00:27:00
3021	682	5	2024-01-01 00:28:00
3021	867	3	2024-01-01 00:29:00
3021	522	3	2024-01-01 00:30:00
3021	653	4	2024-01-01 00:32:00
3021	688	4	2024-01-01 00:33:00
3021	467	4	2024-01-01 00:34:00
3021	189	4	2024-01-01 00:35:00
3021	131	3	2024-01-01 00:36:00
3021	225	3	2024-01-01 00:37:00
3021	80	4	2024-01-01 00:38:00
3021	121	4	2024-01-01 00:39:00
3021	66	4	2024-01-01 00:40:00
3021	15	3	2024-01-01 00:41:00
3021	255	3	2024-01-01 00:42:00
3021	37	5	2024-01-01 00:43:00
3021	48	5	2024-01-01 00:44:00
3021	337	4	2024-01-01 00:45:00
3021	178	4	2024-01-01 00:46:00
3021	1214	3	2024-01-01 00:47:00
3021	162	4	2024-01-01 00:48:00
3021	461	4	2024-01-01 00:49:00
3021	233	4	2024-01-01 00:50:00
3021	323	5	2024-01-01 00:51:00
3021	118	3	2024-01-01 00:52:00
3021	301	4	2024-01-01 00:53:00
3021	158	4	2024-01-01 00:54:00
3021	43	3	2024-01-01 00:56:00
3021	177	4	2024-01-01 00:57:00
3021	109	5	2024-01-01 00:58:00
3021	172	4	2024-01-01 00:59:00
3021	126	3	2024-01-01 01:00:00
3021	79	4	2024-01-01 01:01:00
3021	840	5	2024-01-01 01:02:00
3021	191	4	2024-01-01 01:09:00
3021	85	5	2024-01-01 01:10:00
3021	480	3	2024-01-01 01:11:00
3021	368	4	2024-01-01 01:12:00
3021	16	3	2024-01-01 01:15:00
3021	193	4	2024-01-01 01:17:00
3021	584	4	2024-01-01 01:18:00
