user_id,book_id,rating
1418,3428,5
1418,57,4
1418,45,4
1418,1299,5
1418,1503,5
1418,2274,5
2981,4,4
2981,2,4
2981,27,3
2981,24,3
2981,21,3
2981,18,3
2981,23,3
2981,25,4
2981,26,2
2981,28,4
2981,50,4
2981,32,4
2981,14,4
2981,122,3
2981,29,2
2981,168,4
2981,72,3
2981,176,4
2981,243,3
2981,232,5
2981,237,3
2981,612,5
2981,305,3
2981,349,3
2981,725,5
2981,806,5
2981,553,3
2981,953,5
2981,936,5
2981,1261,3
2981,670,3
2981,556,3
2981,1053,5
2981,1248,5
2981,578,3
2981,675,3
2981,865,3
2981,705,4
2981,915,4
2981,1123,4
2981,1498,3
2981,986,3
2981,967,3
2981,1075,4
2981,609,4
2981,1900,4
2981,1139,3
2981,944,3
2981,818,2
2981,1589,3
2981,911,4
2981,1423,4
2981,2041,5
2981,1288,4
2981,2155,3
2981,1795,4
2981,1208,4
2981,3205,4
2981,6323,5
2981,1987,4
2981,8976,3
2981,5763,3
2981,3735,3
2981,2513,3
2981,9147,3
2981,9360,3
2981,9923,3
2981,8371,3
2981,4642,4
2981,5949,3
2981,1339,2
2981,5188,3
2981,703,4
2981,739,3
2981,4524,3
2981,2352,3
2981,8829,4
2981,5155,5
2981,284,2
2981,173,4
2981,264,3
2981,1620,4
2981,741,5
2981,367,5
2981,1578,4
2981,1709,5
2981,1719,3
2981,2657,3
2981,2009,5
2981,4124,4
2981,3374,3
2981,6073,3
2981,5775,3
2981,3806,3
2981,5936,3
2981,5558,4
2981,3921,4
2981,7047,4
2981,5945,4
2981,2302,3
2981,138,2
2981,271,5
2981,63,5
2981,148,3
2981,2028,4
2981,4678,4
2981,3817,4
2981,58,3
2981,347,3
2981,292,4
2981,332,4
2981,641,4
2981,602,4
2981,542,4
2981,356,3
2981,873,3
2981,1033,3
2981,1163,3
2981,15,4
2981,181,2
2981,59,5
2981,326,4
2981,278,5
2981,786,5
2981,672,4
2981,200,4
2981,1741,3
2981,618,4
2981,982,4
2981,242,4
2981,266,4
2981,2184,3
2981,2012,4
2981,2214,4
2981,6728,3
2981,1746,3
2981,3066,3
2981,2547,3
