username,anime_id,anime_title,status,score,num_episodes_watched,updated_at,user_id
Aizycran,10087,Fate/Zero,completed,7,13,2012-02-01T12:37:01+00:00,573
Aizycran,11741,Fate/Zero 2nd Season,completed,8,12,2015-01-18T18:21:53+00:00,573
Aizycran,32696,Fukigen na Mononokean,completed,7,13,2019-04-14T19:52:41+00:00,573
Aizycran,37958,Fukigen na Mononokean Tsuzuki,completed,7,13,2019-04-14T19:51:52+00:00,573
Aizycran,122,Full Moon wo Sagashite,completed,10,52,2011-04-14T19:18:29+00:00,573
Aizycran,121,Fullmetal Alchemist,completed,8,51,2012-01-30T20:17:32+00:00,573
Aizycran,27633,Gekkan Shoujo Nozaki-kun Specials,completed,8,6,2016-01-16T22:26:34+00:00,573
Aizycran,41025,Fumetsu no Anata e,completed,6,20,2023-05-28T21:26:10+00:00,573
Aizycran,239,Gankutsuou,completed,6,24,2023-05-01T15:43:05+00:00,573
Aizycran,23289,Gekkan Shoujo Nozaki-kun,completed,10,12,2018-06-26T21:33:11+00:00,573
Aizycran,918,Gintama,completed,10,201,2014-04-06T17:41:35+00:00,573
Aizycran,7472,Gintama Movie 1: Shinyaku Benizakura-hen,completed,10,1,2014-05-01T19:17:07+00:00,573
Aizycran,15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,completed,10,1,2014-12-27T19:35:44+00:00,573
Aizycran,27821,Fate/stay night: Unlimited Blade Works Prologue,completed,6,1,2014-10-30T19:54:59+00:00,573
Aizycran,5114,Fullmetal Alchemist: Brotherhood,completed,8,64,2011-04-15T19:43:23+00:00,573
Aizycran,9969,Gintama',completed,10,51,2014-05-01T19:16:23+00:00,573
Aizycran,6746,Durarara!!,completed,9,24,2011-04-15T19:16:52+00:00,573
Aizycran,356,Fate/stay night,completed,7,24,2013-06-01T17:41:39+00:00,573
Aizycran,7338,Darker than Black: Kuro no Keiyakusha Gaiden,completed,6,4,2013-07-13T20:01:14+00:00,573
Aizycran,15417,Gintama': Enchousen,completed,10,13,2014-05-01T19:16:51+00:00,573
Aizycran,1535,Death Note,completed,8,37,2012-01-30T20:14:08+00:00,573
Aizycran,28223,Death Parade,completed,7,12,2015-08-07T20:52:36+00:00,573
Aizycran,2164,Dennou Coil,completed,8,26,2011-07-18T18:43:36+00:00,573
Aizycran,18689,Diamond no Ace,completed,10,75,2019-05-10T16:13:33+00:00,573
Aizycran,30230,Diamond no Ace: Second Season,completed,10,51,2019-05-10T16:14:02+00:00,573
Aizycran,21743,Donten ni Warau,completed,7,12,2015-01-09T18:15:20+00:00,573
Aizycran,22297,Fate/stay night: Unlimited Blade Works,completed,6,12,2014-12-28T19:23:54+00:00,573
Aizycran,37520,Dororo,completed,10,24,2019-06-24T19:22:51+00:00,573
Aizycran,39164,Dramaturgy,completed,7,1,2023-01-26T13:59:56+00:00,573
Aizycran,27833,Durarara!!x2 Ketsu,completed,8,12,2016-03-28T19:10:59+00:00,573
Aizycran,23199,Durarara!!x2 Shou,completed,8,12,2015-04-03T15:14:19+00:00,573
Aizycran,27831,Durarara!!x2 Ten,completed,7,12,2015-10-03T18:11:57+00:00,573
Aizycran,226,Elfen Lied,completed,8,13,2012-01-30T20:16:00+00:00,573
Aizycran,2759,Evangelion Movie 1: Jo,completed,9,1,2016-10-16T14:11:48+00:00,573
Aizycran,3784,Evangelion Movie 2: Ha,completed,8,1,2016-10-16T14:11:58+00:00,573
Aizycran,3785,Evangelion Movie 3: Q,completed,8,1,2016-10-06T19:56:03+00:00,573
Aizycran,813,Dragon Ball Z,completed,6,291,2011-04-21T11:13:05+00:00,573
